Dates,Month,Day,Year,Power_House,Spillway,Total_Q
01/01/2011,1,1,2011,221,0,221
01/02/2011,1,2,2011,220,0,220
01/03/2011,1,3,2011,222,0,222
01/04/2011,1,4,2011,221,0,221
01/05/2011,1,5,2011,221,0,221
01/06/2011,1,6,2011,224,0,224
01/07/2011,1,7,2011,135,0,135
01/08/2011,1,8,2011,112,0,112
01/09/2011,1,9,2011,112,0,112
01/10/2011,1,10,2011,112,0,112
01/11/2011,1,11,2011,115,0,115
01/12/2011,1,12,2011,115,0,115
13/01/2011,1,13,2011,114,0,114
14/01/2011,1,14,2011,113,0,113
15/01/2011,1,15,2011,112,0,112
16/01/2011,1,16,2011,111,0,111
17/01/2011,1,17,2011,111,0,111
18/01/2011,1,18,2011,114,0,114
19/01/2011,1,19,2011,113,0,113
20/01/2011,1,20,2011,112,0,112
21/01/2011,1,21,2011,110,0,110
22/01/2011,1,22,2011,112,0,112
23/01/2011,1,23,2011,113,0,113
24/01/2011,1,24,2011,112,0,112
25/01/2011,1,25,2011,109,0,109
26/01/2011,1,26,2011,112,0,112
27/01/2011,1,27,2011,117,0,117
28/01/2011,1,28,2011,130,0,130
29/01/2011,1,29,2011,139,0,139
30/01/2011,1,30,2011,143,0,143
31/01/2011,1,31,2011,150,0,150
02/01/2011,2,1,2011,160,0,160
02/02/2011,2,2,2011,184,0,184
02/03/2011,2,3,2011,184,0,184
02/04/2011,2,4,2011,208,0,208
02/05/2011,2,5,2011,210,0,210
02/06/2011,2,6,2011,209,0,209
02/07/2011,2,7,2011,225,0,225
02/08/2011,2,8,2011,232,0,232
02/09/2011,2,9,2011,234,0,234
02/10/2011,2,10,2011,234,0,234
02/11/2011,2,11,2011,235,0,235
02/12/2011,2,12,2011,235,0,235
13/02/2011,2,13,2011,232,0,232
14/02/2011,2,14,2011,232,0,232
15/02/2011,2,15,2011,234,0,234
16/02/2011,2,16,2011,234,0,234
17/02/2011,2,17,2011,234,0,234
18/02/2011,2,18,2011,234,0,234
19/02/2011,2,19,2011,235,0,235
20/02/2011,2,20,2011,235,0,235
21/02/2011,2,21,2011,235,0,235
22/02/2011,2,22,2011,233,0,233
23/02/2011,2,23,2011,234,0,234
24/02/2011,2,24,2011,233,0,233
25/02/2011,2,25,2011,232,0,232
26/02/2011,2,26,2011,231,0,231
27/02/2011,2,27,2011,232,0,232
28/02/2011,2,28,2011,232,0,232
03/01/2011,3,1,2011,185,0,185
03/02/2011,3,2,2011,233,0,233
03/03/2011,3,3,2011,234,0,234
03/04/2011,3,4,2011,234,0,234
03/05/2011,3,5,2011,224,0,224
03/06/2011,3,6,2011,234,0,234
03/07/2011,3,7,2011,236,0,236
03/08/2011,3,8,2011,229,0,229
03/09/2011,3,9,2011,174,0,174
03/10/2011,3,10,2011,201,0,201
03/11/2011,3,11,2011,233,0,233
03/12/2011,3,12,2011,229,0,229
13/03/2011,3,13,2011,232,0,232
14/03/2011,3,14,2011,240,0,240
15/03/2011,3,15,2011,258,0,258
16/03/2011,3,16,2011,257,0,257
17/03/2011,3,17,2011,242,0,242
18/03/2011,3,18,2011,270,0,270
19/03/2011,3,19,2011,260,0,260
20/03/2011,3,20,2011,266,0,266
21/03/2011,3,21,2011,290,0,290
22/03/2011,3,22,2011,279,0,279
23/03/2011,3,23,2011,279,0,279
24/03/2011,3,24,2011,284,0,284
25/03/2011,3,25,2011,292,0,292
26/03/2011,3,26,2011,294,0,294
27/03/2011,3,27,2011,293,0,293
28/03/2011,3,28,2011,310,0,310
29/03/2011,3,29,2011,300,0,300
30/03/2011,3,30,2011,303,0,303
31/03/2011,3,31,2011,299,0,299
04/01/2011,4,1,2011,302,0,302
04/02/2011,4,2,2011,301,0,301
04/03/2011,4,3,2011,301,0,301
04/04/2011,4,4,2011,298,0,298
04/05/2011,4,5,2011,304,0,304
04/06/2011,4,6,2011,301,0,301
04/07/2011,4,7,2011,308,0,308
04/08/2011,4,8,2011,305,0,305
04/09/2011,4,9,2011,297,0,297
04/10/2011,4,10,2011,310,0,310
04/11/2011,4,11,2011,300,0,300
04/12/2011,4,12,2011,218,0,218
13/04/2011,4,13,2011,160,0,160
14/04/2011,4,14,2011,160,0,160
15/04/2011,4,15,2011,160,0,160
16/04/2011,4,16,2011,160,0,160
17/04/2011,4,17,2011,159,0,159
18/04/2011,4,18,2011,164,0,164
19/04/2011,4,19,2011,168,0,168
20/04/2011,4,20,2011,152,0,152
21/04/2011,4,21,2011,161,0,161
22/04/2011,4,22,2011,149,0,149
23/04/2011,4,23,2011,160,0,160
24/04/2011,4,24,2011,160,0,160
25/04/2011,4,25,2011,247,0,247
26/04/2011,4,26,2011,303,0,303
27/04/2011,4,27,2011,320,0,320
28/04/2011,4,28,2011,304,0,304
29/04/2011,4,29,2011,301,0,301
30/04/2011,4,30,2011,327,0,327
05/01/2011,5,1,2011,327,0,327
05/02/2011,5,2,2011,337,0,337
05/03/2011,5,3,2011,345,0,345
05/04/2011,5,4,2011,337,0,337
05/05/2011,5,5,2011,344,54,398
05/06/2011,5,6,2011,346,138,484
05/07/2011,5,7,2011,348,200,548
05/08/2011,5,8,2011,344,200,544
05/09/2011,5,9,2011,349,200,549
05/10/2011,5,10,2011,336,258,594
05/11/2011,5,11,2011,344,300,644
05/12/2011,5,12,2011,322,300,622
13/05/2011,5,13,2011,334,400,734
14/05/2011,5,14,2011,341,500,841
15/05/2011,5,15,2011,341,500,841
16/05/2011,5,16,2011,323,500,823
17/05/2011,5,17,2011,339,500,839
18/05/2011,5,18,2011,343,500,843
19/05/2011,5,19,2011,340,500,840
20/05/2011,5,20,2011,332,500,832
21/05/2011,5,21,2011,317,500,817
22/05/2011,5,22,2011,321,500,821
23/05/2011,5,23,2011,318,500,818
24/05/2011,5,24,2011,342,517,859
25/05/2011,5,25,2011,349,550,899
26/05/2011,5,26,2011,348,571,919
27/05/2011,5,27,2011,341,602,943
28/05/2011,5,28,2011,325,679,"1,005"
29/05/2011,5,29,2011,329,700,"1,029"
30/05/2011,5,30,2011,333,700,"1,033"
31/05/2011,5,31,2011,333,700,"1,033"
06/01/2011,6,1,2011,334,700,"1,034"
06/02/2011,6,2,2011,334,700,"1,034"
06/03/2011,6,3,2011,340,700,"1,040"
06/04/2011,6,4,2011,338,700,"1,038"
06/05/2011,6,5,2011,337,700,"1,037"
06/06/2011,6,6,2011,341,673,"1,014"
06/07/2011,6,7,2011,332,650,982
06/08/2011,6,8,2011,329,650,979
06/09/2011,6,9,2011,335,671,"1,006"
06/10/2011,6,10,2011,338,700,"1,038"
06/11/2011,6,11,2011,334,700,"1,034"
06/12/2011,6,12,2011,333,700,"1,033"
13/06/2011,6,13,2011,338,804,"1,142"
14/06/2011,6,14,2011,"1,312",950,"2,262"
15/06/2011,6,15,2011,"1,309",950,"2,259"
16/06/2011,6,16,2011,330,950,"1,280"
17/06/2011,6,17,2011,"1,346",983,"2,329"
18/06/2011,6,18,2011,"1,357","1,000","2,357"
19/06/2011,6,19,2011,"1,346","1,000","2,346"
20/06/2011,6,20,2011,367,"1,000","1,367"
21/06/2011,6,21,2011,364,"1,000","1,364"
22/06/2011,6,22,2011,373,"1,000","1,373"
23/06/2011,6,23,2011,368,"1,000","1,368"
24/06/2011,6,24,2011,371,"1,000","1,371"
25/06/2011,6,25,2011,355,"1,000","1,355"
26/06/2011,6,26,2011,357,"1,000","1,357"
27/06/2011,6,27,2011,352,"1,000","1,352"
28/06/2011,6,28,2011,372,"1,000","1,372"
29/06/2011,6,29,2011,373,"1,000","1,373"
30/06/2011,6,30,2011,360,"1,000","1,360"
07/01/2011,7,1,2011,360,"1,000","1,360"
07/02/2011,7,2,2011,375,"1,000","1,375"
07/03/2011,7,3,2011,348,"1,000","1,348"
07/04/2011,7,4,2011,376,833,"1,209"
07/05/2011,7,5,2011,381,500,881
07/06/2011,7,6,2011,373,500,873
